
=== NO_FIRST_REVIEWS ===
Aggregation weight: reviews (99% CI, bootstrap BCa)
Methods compared: 15
Common users in all method files: 1
Common reviews (from shared users): 178986

| Method                                     | RMSE         | MAE         | MAPE          |
| ------------------------------------------ | ------------ | ----------- | ------------- |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE | 9.43±0.00 s  | 4.58±0.00 s | 72.07%±0.00%  |
| FSRS7_R_LINEAR_BY_GRADES                   | 9.44±0.00 s  | 4.60±0.00 s | 73.98%±0.00%  |
| FSRS7_R_GRADE_INTERACT                     | 9.47±0.00 s  | 4.69±0.00 s | 73.75%±0.00%  |
| FSRS7_DSR_GRADE_NN                         | 9.53±0.00 s  | 4.69±0.00 s | 74.56%±0.00%  |
| GRADE_MEDIAN_4                             | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| GRADE_MEDIAN_8                             | 9.66±0.00 s  | 4.78±0.00 s | 83.12%±0.00%  |
| FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR          | 9.72±0.00 s  | 4.78±0.00 s | 70.87%±0.00%  |
| GRADE_MEDIAN_4_4                           | 9.66±0.00 s  | 4.80±0.00 s | 84.14%±0.00%  |
| FSRS7_R_LINEAR                             | 9.71±0.00 s  | 4.80±0.00 s | 74.13%±0.00%  |
| MOVING_AVG                                 | 9.69±0.00 s  | 4.89±0.00 s | 72.14%±0.00%  |
| USER_MEDIAN                                | 10.20±0.00 s | 5.21±0.00 s | 87.16%±0.00%  |
| CONST                                      | 10.03±0.00 s | 5.28±0.00 s | 97.28%±0.00%  |
| POOR_MANS_FSRS                             | 9.38±0.00 s  | 5.41±0.00 s | 105.37%±0.00% |
| FSRS7_ONE_MINUS_R_S_REPS_D_RIDGE           | 9.68±0.00 s  | 5.84±0.00 s | 116.35%±0.00% |
| FSRS7_R_RIDGE                              | 9.70±0.00 s  | 5.95±0.00 s | 123.97%±0.00% |

Highlights:
- Best RMSE: POOR_MANS_FSRS (9.3820 s)
- Best MAE: FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR_BY_GRADE (4.5808 s)
- Best MAPE: FSRS7_ONE_MINUS_R_S_REPS_D_LINEAR (70.8709%)
- Overall: no single method is best on all three metrics.
Interpretation tip: 10s MAE means ~10s average absolute error; 10s RMSE is in seconds too but penalizes large misses more; MAPE is percentage (e.g., 10% means ~2s error when true time is 20s).

R-bucket precision (5% buckets):

Method: CONST (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
| 0.25-0.30 | 9     | 8.7818        | 7.0000        | 6.5221   | 3.7580  | 1.2383                  | 1.0000                  | 80.76           | 55.56         |
| 0.30-0.35 | 1296  | 15.8337       | 7.0000        | 16.3978  | 10.1305 | 2.2327                  | 1.0000                  | 44.79           | 25.23         |
| 0.35-0.40 | 8448  | 15.8267       | 7.0000        | 16.9826  | 10.0305 | 2.2317                  | 1.0000                  | 44.81           | 27.32         |
| 0.40-0.45 | 5508  | 14.7833       | 7.0000        | 16.0979  | 9.2087  | 2.0846                  | 1.0000                  | 47.97           | 28.12         |
| 0.45-0.50 | 2626  | 14.2600       | 7.0000        | 15.3749  | 8.7739  | 2.0108                  | 1.0000                  | 49.73           | 29.06         |
| 0.50-0.55 | 3402  | 12.3023       | 7.0000        | 13.0555  | 7.1149  | 1.7347                  | 1.0000                  | 57.65           | 33.54         |
| 0.55-0.60 | 4560  | 10.9587       | 7.0000        | 11.8225  | 6.2970  | 1.5453                  | 1.0000                  | 64.71           | 33.25         |
| 0.60-0.65 | 5523  | 10.7652       | 7.0000        | 11.8184  | 6.3092  | 1.5180                  | 1.0000                  | 65.88           | 31.34         |
| 0.65-0.70 | 5592  | 10.3548       | 7.0000        | 11.4201  | 6.0004  | 1.4601                  | 1.0000                  | 68.49           | 32.21         |
| 0.70-0.75 | 7555  | 9.4949        | 7.0000        | 10.1281  | 5.2644  | 1.3389                  | 1.0000                  | 74.69           | 34.68         |
| 0.75-0.80 | 15982 | 8.7296        | 7.0000        | 9.3547   | 4.8765  | 1.2310                  | 1.0000                  | 81.24           | 33.47         |
| 0.80-0.85 | 44942 | 7.5640        | 7.0000        | 8.2444   | 4.3725  | 1.0666                  | 1.0000                  | 93.76           | 31.29         |
| 0.85-0.90 | 50304 | 7.0918        | 7.0000        | 8.8759   | 4.6074  | 1.0000                  | 1.0000                  | 100.00          | 26.50         |
| 0.90-0.95 | 19759 | 5.4457        | 7.0000        | 7.5942   | 4.4782  | 0.7679                  | 1.0000                  | 76.79           | 19.03         |
| 0.95-1.00 | 3452  | 2.8109        | 7.0000        | 5.5342   | 4.8528  | 0.3964                  | 1.0000                  | 39.64           | 6.37          |

Method: FSRS7_DSR_GRADE_NN (Within 2s uses |pred-true| <= 2.0s)
| R bucket  | Count | Mean true (s) | Mean pred (s) | RMSE (s) | MAE (s) | True ratio vs 0.85-0.90 | Pred ratio vs 0.85-0.90 | Ratio match (%) | Within 2s (%) |
| --------- | ----- | ------------- | ------------- | -------- | ------- | ----------------------- | ----------------------- | --------------- | ------------- |
